date,bbands,rsi,stoch,larry,buy,hold,sell
2017/11/13,0.5,0.77,0.82,0.8,0,0,1
2017/11/14,0.5,0.79,0.8,0.81,0,0,1
2017/11/15,0.5,0.74,0.74,0.62,0,0,1
2017/11/17,0.5,0.54,0.43,0.09,0,1,0
2017/11/20,0.5,0.45,0.24,0.05,0,0,1
2017/11/21,0.5,0.36,0.1,0.17,0,0,1
2017/11/22,0.5,0.29,0.09,0.06,0,0,1
2017/11/24,0.5,0.35,0.12,0.12,0,0,1
2017/11/27,0.5,0.23,0.09,0.08,0,1,0
2017/11/28,0.5,0.26,0.13,0.19,0,0,1
2017/11/29,0.5,0.23,0.11,0.07,0,0,1
2017/11/30,0.5,0.37,0.24,0.46,0,0,1
2017/12/1,0.5,0.41,0.33,0.45,0,0,1
2017/12/4,0.5,0.37,0.43,0.38,0,0,1
2017/12/5,0.5,0.29,0.3,0.07,0,0,1
2017/12/6,0.5,0.32,0.23,0.23,0,0,1
2017/12/7,0.5,0.27,0.15,0.14,0,1,0
2017/12/8,0.5,0.37,0.21,0.26,0,1,0
2017/12/11,0.5,0.41,0.26,0.38,0,1,0
2017/12/12,0.5,0.35,0.3,0.25,1,0,0
2017/12/13,0.5,0.37,0.29,0.25,1,0,0
2017/12/14,0.5,0.35,0.24,0.22,1,0,0
2017/12/15,0.5,0.51,0.4,0.72,0,1,0
2017/12/19,1,0.71,0.88,0.95,0,0,1
2017/12/20,1,0.69,0.97,0.98,0,0,1
2017/12/21,0.5,0.63,0.92,0.82,0,0,1
2017/12/22,0.5,0.65,0.87,0.81,0,0,1
2017/12/26,0.5,0.68,0.77,0.69,0,1,0
2017/12/27,0.5,0.69,0.73,0.69,0,0,1
2017/12/28,0.5,0.73,0.69,0.69,0,0,1
2017/12/29,0.5,0.71,0.69,0.68,0,0,1
2018/1/2,0.5,0.72,0.73,0.83,0,0,1
2018/1/3,0.5,0.62,0.66,0.49,0,0,1
2018/1/4,0.5,0.56,0.56,0.35,0,0,1
2018/1/5,0.5,0.58,0.42,0.41,0,0,1
2018/1/9,0.5,0.32,0.34,0.19,0,0,1
2018/1/10,0.5,0.21,0.2,0.01,0,1,0
2018/1/11,0.5,0.25,0.13,0.19,0,1,0
2018/1/12,0.5,0.27,0.12,0.17,0,1,0
2018/1/16,0.5,0.27,0.17,0.16,0,1,0
2018/1/17,0.5,0.4,0.26,0.44,0,1,0
2018/1/18,0.5,0.4,0.35,0.46,0,1,0
2018/1/19,0.5,0.42,0.48,0.53,1,0,0
2018/1/22,0.5,0.48,0.58,0.74,1,0,0
2018/1/23,0.5,0.46,0.75,0.96,0,1,0
2018/1/24,0.5,0.52,0.84,0.83,0,1,0
2018/1/25,0.5,0.56,0.84,0.73,0,1,0
2018/1/26,1,0.72,0.85,0.99,0,0,1
2018/1/29,1,0.72,0.87,0.9,0,0,1
2018/1/30,0.5,0.71,0.88,0.76,0,0,1
2018/1/31,0.5,0.74,0.78,0.68,0,0,1
2018/2/1,0.5,0.69,0.68,0.6,0,0,1
2018/2/2,0.5,0.62,0.56,0.41,0,0,1
2018/2/5,0.5,0.55,0.38,0.14,0,1,0
2018/2/6,0.5,0.53,0.27,0.25,0,0,1
2018/2/7,0.5,0.54,0.23,0.29,0,1,0
2018/2/8,0.5,0.44,0.18,0,0,1,0
2018/2/9,0.5,0.45,0.17,0.23,0,1,0
2018/2/13,0.5,0.48,0.28,0.29,0,1,0
2018/2/14,0.5,0.51,0.34,0.39,0,1,0
2018/2/15,0.5,0.35,0.38,0.46,0,0,1
2018/2/16,0.5,0.34,0.44,0.46,0,1,0
2018/2/20,0.5,0.42,0.51,0.62,1,0,0
2018/2/21,0.5,0.42,0.57,0.64,0,1,0
2018/2/22,0.5,0.44,0.65,0.69,0,1,0
2018/2/23,0.5,0.58,0.77,0.99,0,1,0
2018/2/26,0.5,0.7,0.89,1,0,1,0
2018/2/27,1,0.7,0.96,0.89,0,1,0
2018/2/28,0.5,0.66,0.9,0.82,0,1,0
2018/3/1,0.5,0.72,0.79,0.65,0,1,0
2018/3/2,0.5,0.72,0.73,0.72,0,1,0
2018/3/5,0.5,0.71,0.74,0.83,0,1,0
2018/3/6,0.5,0.76,0.82,0.91,0,1,0
2018/3/7,0.5,0.75,0.91,0.97,0,1,0
2018/3/8,0.5,0.7,0.9,0.8,0,1,0
2018/3/9,0.5,0.76,0.92,0.98,0,0,1
2018/3/12,0.5,0.7,0.89,0.88,0,0,1
2018/3/13,0.5,0.73,0.87,0.75,0,0,1
2018/3/14,0.5,0.74,0.79,0.74,0,0,1
2018/3/15,0.5,0.63,0.69,0.57,0,0,1
2018/3/16,0.5,0.6,0.65,0.62,0,0,1
2018/3/19,0.5,0.55,0.59,0.57,0,1,0
2018/3/20,0.5,0.61,0.62,0.67,0,0,1
2018/3/21,0.5,0.71,0.64,0.67,0,0,1
2018/3/22,0.5,0.61,0.61,0.49,0,1,0
2018/3/26,0.5,0.58,0.4,0.71,0,0,1
2018/3/27,0.5,0.49,0.37,0.41,0,0,1
2018/3/28,0.5,0.46,0.41,0.12,0,1,0
2018/3/29,0.5,0.5,0.39,0.64,0,0,1
2018/4/2,0,0.42,0.34,0.25,0,1,0
2018/4/3,0.5,0.44,0.44,0.41,0,1,0
2018/4/4,0.5,0.45,0.37,0.45,0,1,0
2018/4/5,0.5,0.48,0.46,0.52,0,1,0
2018/4/6,0.5,0.43,0.41,0.25,0,1,0
2018/4/9,0.5,0.47,0.38,0.38,0,1,0
2018/4/10,0.5,0.49,0.43,0.67,0,1,0
2018/4/11,0.5,0.49,0.56,0.64,0,1,0
2018/4/12,0.5,0.55,0.74,0.91,0,0,1
2018/4/13,0.5,0.56,0.77,0.76,0,0,1
2018/4/16,0.5,0.5,0.84,0.85,0,0,1
2018/4/17,0.5,0.57,0.86,0.98,0,0,1
2018/4/18,0.5,0.63,0.91,0.89,0,0,1
2018/4/19,0.5,0.5,0.86,0.7,0,1,0
2018/4/20,0.5,0.61,0.72,0.55,0,1,0
2018/4/23,0.5,0.56,0.58,0.49,0,1,0
2018/4/24,0.5,0.56,0.52,0.5,0,1,0
2018/4/25,0.5,0.54,0.49,0.49,0,1,0
2018/4/26,0.5,0.69,0.58,0.75,0,0,1
2018/4/27,0.5,0.64,0.56,0.44,0,1,0
2018/4/30,0.5,0.52,0.46,0.2,0,1,0
2018/5/1,0.5,0.59,0.39,0.53,0,1,0
2018/5/2,0.5,0.48,0.35,0.33,0,1,0
2018/5/3,0.5,0.52,0.39,0.32,0,1,0
2018/5/4,0.5,0.53,0.38,0.48,0,1,0
2018/5/7,0.5,0.5,0.46,0.59,0,1,0
2018/5/8,0.5,0.52,0.57,0.64,0,1,0
2018/5/9,1,0.62,0.67,0.78,0,1,0
2018/5/10,1,0.69,0.78,0.91,0,0,1
2018/5/11,0.5,0.7,0.84,0.85,0,0,1
2018/5/14,0.5,0.7,0.88,0.89,0,0,1
2018/5/15,0.5,0.64,0.8,0.66,0,1,0
2018/5/16,0.5,0.6,0.79,0.82,0,1,0
2018/5/17,0.5,0.63,0.78,0.86,0,0,1
2018/5/18,0.5,0.61,0.75,0.57,0,1,0
2018/5/22,0.5,0.66,0.7,0.78,0,1,0
2018/5/23,0.5,0.69,0.83,0.95,0,1,0
2018/5/24,0.5,0.62,0.82,0.74,0,1,0
2018/5/25,0.5,0.63,0.89,0.98,0,1,0
2018/5/29,0.5,0.6,0.84,0.81,0,1,0
2018/5/30,0.5,0.59,0.87,0.81,0,1,0
2018/5/31,0.5,0.51,0.75,0.63,0,1,0
2018/6/1,1,0.63,0.81,0.99,0,0,1
2018/6/4,1,0.61,0.81,0.81,0,0,1
2018/6/5,0.5,0.65,0.85,0.74,0,0,1
2018/6/6,0.5,0.65,0.81,0.86,0,0,1
2018/6/7,0.5,0.56,0.73,0.58,0,0,1
2018/6/8,0.5,0.59,0.59,0.32,0,1,0
2018/6/11,0.5,0.51,0.36,0.18,0,0,1
2018/6/12,0.5,0.52,0.25,0.26,0,0,1
2018/6/13,0.5,0.49,0.23,0.26,0,0,1
2018/6/14,0.5,0.55,0.3,0.39,0,0,1
2018/6/15,0.5,0.48,0.3,0.26,0,0,1
2018/6/18,0,0.39,0.27,0.17,0,0,1
2018/6/19,0,0.36,0.2,0.18,0,0,1
2018/6/20,0.5,0.41,0.21,0.28,0,0,1
2018/6/21,0,0.23,0.17,0.05,0,0,1
2018/6/22,0.5,0.26,0.15,0.12,0,0,1
2018/6/25,0,0.22,0.09,0.11,0,0,1
2018/6/26,0,0.17,0.09,0.04,0,0,1
2018/6/28,0.5,0.22,0.05,0.1,0,1,0
2018/6/29,0.5,0.27,0.09,0.16,0,1,0
2018/7/2,0.5,0.28,0.17,0.23,0,1,0
2018/7/3,0.5,0.25,0.18,0.13,0,1,0
2018/7/5,0.5,0.3,0.23,0.33,0,1,0
2018/7/6,0.5,0.35,0.31,0.48,0,1,0
2018/7/9,0.5,0.44,0.45,0.56,0,1,0
2018/7/10,0.5,0.46,0.55,0.61,0,0,1
2018/7/11,0.5,0.4,0.54,0.45,0,1,0
2018/7/12,0.5,0.51,0.63,0.84,0,0,1
2018/7/13,0.5,0.49,0.74,0.93,0,0,1
2018/7/16,0.5,0.57,0.89,0.88,0,1,0
2018/7/17,0.5,0.62,0.88,0.82,0,1,0
2018/7/18,0.5,0.69,0.84,0.81,0,1,0
2018/7/19,0.5,0.69,0.83,0.86,0,1,0
2018/7/20,0.5,0.66,0.84,0.84,0,0,1
2018/7/23,0.5,0.65,0.88,0.94,0,0,1
2018/7/24,0.5,0.72,0.82,0.68,0,0,1
2018/7/25,0.5,0.66,0.77,0.7,0,0,1
2018/7/26,0.5,0.58,0.63,0.5,0,0,1
2018/7/27,0,0.27,0.41,0.03,0,1,0
2018/7/30,0,0.24,0.24,0.18,0,1,0
2018/7/31,0.5,0.31,0.15,0.24,0,1,0
2018/8/1,0.5,0.27,0.26,0.35,0,1,0
2018/8/2,0.5,0.33,0.34,0.44,0,1,0
2018/8/3,0.5,0.35,0.42,0.47,0,0,1
2018/8/6,0.5,0.36,0.46,0.46,0,0,1
2018/8/7,0.5,0.4,0.48,0.52,0,0,1
2018/8/8,0.5,0.4,0.51,0.56,0,0,1
2018/8/9,0.5,0.41,0.55,0.58,0,0,1
2018/8/10,0.5,0.33,0.51,0.4,0,0,1
2018/8/13,0.5,0.32,0.44,0.34,0,0,1
2018/8/14,0.5,0.29,0.34,0.29,0,0,1
2018/8/15,0.5,0.28,0.31,0.29,0,0,1
2018/8/16,0.5,0.48,0.27,0.23,0,0,1
2018/8/17,0.5,0.47,0.23,0.18,0,1,0
2018/8/20,0.5,0.39,0.16,0.07,0,1,0
2018/8/21,0.5,0.43,0.19,0.32,0,1,0
2018/8/22,0.5,0.33,0.2,0.2,0,1,0
2018/8/23,0.5,0.31,0.23,0.18,0,1,0
2018/8/24,0.5,0.38,0.24,0.33,0,1,0
2018/8/28,0.5,0.4,0.45,0.54,0,0,1
2018/8/29,0.5,0.4,0.62,0.84,0,0,1
2018/8/30,0.5,0.45,0.68,0.67,0,0,1
2018/8/31,0.5,0.5,0.78,0.84,0,0,1
2018/9/4,0.5,0.49,0.72,0.66,0,0,1
2018/9/5,0.5,0.52,0.69,0.57,0,0,1
2018/9/6,0.5,0.51,0.55,0.4,0,0,1
2018/9/7,0.5,0.45,0.36,0.1,0,0,1
2018/9/10,0.5,0.48,0.17,0.03,0,0,1
2018/9/11,0,0.3,0.04,0.01,0,1,0
2018/9/12,0,0.32,0.07,0.18,0,1,0
2018/9/13,0.5,0.39,0.17,0.31,0,1,0
2018/9/14,0.5,0.32,0.27,0.31,0,1,0
2018/9/17,0.5,0.23,0.3,0.28,0,1,0
2018/9/18,0.5,0.29,0.34,0.43,0,0,1
2018/9/19,0.5,0.27,0.38,0.44,0,0,1
2018/9/20,0.5,0.42,0.52,0.7,0,0,1
2018/9/21,0.5,0.37,0.58,0.6,0,1,0
2018/9/24,0.5,0.42,0.67,0.7,0,0,1
2018/9/25,0.5,0.37,0.59,0.47,0,1,0
2018/9/26,0.5,0.39,0.55,0.48,0,1,0
2018/9/27,0.5,0.45,0.5,0.54,0,1,0
2018/9/28,0.5,0.57,0.63,0.88,0,0,1
2018/10/1,0.5,0.61,0.69,0.65,0,1,0
2018/10/2,1,0.68,0.77,0.79,0,0,1
2018/10/3,1,0.68,0.74,0.79,0,0,1
2018/10/4,0.5,0.64,0.74,0.65,0,0,1
2018/10/5,0.5,0.58,0.6,0.38,0,0,1
2018/10/8,0.5,0.55,0.46,0.37,0,0,1
2018/10/9,0.5,0.52,0.33,0.26,0,0,1
2018/10/10,0.5,0.39,0.21,0,0,1,0
2018/10/11,0,0.39,0.11,0.08,0,1,0
2018/10/12,0.5,0.41,0.09,0.19,0,0,1
2018/10/15,0.5,0.43,0.14,0.13,0,1,0
2018/10/16,0.5,0.51,0.23,0.37,0,0,1
2018/10/17,0.5,0.5,0.29,0.36,0,0,1
2018/10/18,0.5,0.4,0.31,0.21,0,0,1
2018/10/19,0.5,0.39,0.2,0.05,0,1,0
2018/10/22,0.5,0.35,0.16,0.21,0,1,0
2018/10/23,0.5,0.3,0.14,0.15,0,1,0
2018/10/24,0,0.26,0.12,0.01,1,0,0
2018/10/25,0.5,0.39,0.18,0.37,1,0,0
2018/10/26,0.5,0.45,0.34,0.63,0,1,0
2018/10/29,0.5,0.46,0.57,0.69,0,1,0
2018/10/30,0.5,0.6,0.77,0.98,0,0,1
2018/10/31,0.5,0.59,0.8,0.73,0,1,0
2018/11/1,0.5,0.61,0.88,0.95,0,1,0
2018/11/2,0.5,0.58,0.81,0.77,0,1,0
2018/11/5,0.5,0.56,0.87,0.9,0,0,1
2018/11/6,0.5,0.55,0.84,0.84,0,1,0
2018/11/7,0.5,0.62,0.91,1,0,0,1
2018/11/8,0.5,0.67,0.93,0.96,0,0,1
2018/11/9,0.5,0.61,0.93,0.84,0,1,0
2018/11/12,0.5,0.57,0.81,0.63,0,1,0
